"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"1","Albania",2011,0.937490266505804,0.768587207074744,1,0.067587863098435,0.0214742168067708,0.0223347802366475,0.0301743498682414,0.015255485385937,0.037835666132663,0.055285510365602,0.0138293828702692,0.0338712145202789,0.0281026828722945,0.0045261022783586,0.0393122573626862,NA,NA,NA,0.136363636363636,0.646940033723,0.0285022877235112,0.784339169101183,0.533793931549218,0.0274546953363408,NA
"2","Algeria",2011,0.834621560211448,0.790295820042024,1,0.0929518510445295,0.0127367469080337,0.0197569451156317,0.0292510959829789,0.0214108511382009,0.0347866260170999,0.0475675769042403,0.0238695185832771,0.0369667041097308,0.034455605602881,0.00861674382266104,0.0302421488689707,NA,NA,NA,0.204545454545455,0.446130457505493,0.0297394718808827,0.690349279252988,0.546475925522265,0.0272418693685187,NA
"3","Angola",2011,0.86342435306307,0.887547294972942,1,0.0474298559628705,0.0511769853041861,0.0623569075636886,0.155652592835379,0.0199345290790532,0.128380143515517,0.190349693241363,0.0630545755678265,0.0812870812187165,0.111178756121923,0.131140937232968,0.102073920736528,NA,NA,NA,0.0113636363636364,0.228672343245157,0.103424954589237,0.659881330427056,0.523714927981435,0.0996896474924681,NA
"4","Antigua and Barbuda",2011,0.873989985669618,0.668018822169322,NA,0.145099299402323,0.11472675682033,0.271333395086319,0.368617508391044,0.101126114228007,0.236553174175458,0.164974243098377,0.160032729917294,0.321244532201195,0.48301390789258,0.206341665203683,0.312560648871667,NA,NA,NA,NA,NA,0.248230876948533,NA,NA,0.249138606898723,NA
"5","Argentina",2011,0.993954055901505,0.918162951442487,1,NA,0.00633097133423597,0.0174126352961501,0.0249743894242497,0.00135454112743892,0.0132282678151279,0.0187410607229942,0.0140720309064561,0.0307598038618604,0.0302855128779619,0.0091478356321387,0.0226958713409339,0.633333333333333,1,0.882352941176471,0.238636363636364,0.329683582852541,0.017535615535614,0.747266863398845,NA,0.0171820836672316,0.838562091503268
"6","Armenia",2011,0.78659083872194,0.86239396337897,1,0.0463399707716013,0.00605005007636073,0.00861536097515016,0.00986721168048152,0.00447851783395788,0.00831322414148265,0.0123213608761384,0.00566630352607629,0.00875594040151364,0.0102295969023394,0.00181625168099197,0.00728062230660625,NA,NA,NA,0.0795454545454545,0.846904118269785,0.0073577272086383,0.831962973456898,0.523169985385801,0.00758131276373626,NA
"7","Aruba",2011,0.838635542423648,0,NA,0.265152962203081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.404902832787525,NA,0.414512791737058,NA,NA,NA
"8","Australia",2011,0.920329385421898,0.992580513825367,1,0.308209045223119,0.0227980309142245,0.062618566407935,0.0950968301206793,0.0408941652430935,0.0686533611649569,0.0955747810750391,0.0385029321137117,0.0942130592025971,0.234091810262443,0.0206123714703478,0.159995012897259,0.255555555555556,0.244444444444444,0.617647058823529,0.386363636363636,0.64001455741133,0.094067186678681,0.850974818886198,0.65410452261156,0.0848228109883897,0.372549019607843
"9","Austria",2011,0.991758963227525,0.575676962256161,1,0.325132602698271,0.0122618030427414,0.0281068031738827,0.0501230708176668,0.0188577993774476,0.047866878163133,0.0648711006651855,0.0247135697809556,0.0506494436639418,0.0971894061537134,0.00955674606645239,0.068132560409332,NA,NA,NA,0.238636363636364,0.850041048149845,0.0477296880350202,0.805825657877844,0.662566301349136,0.042939016483132,NA
"10","Azerbaijan",2011,0.950111368551207,0.461152919947215,1,0.113386262053344,0.0117294830266582,0.0110681074374881,0.0117909300521331,0.0121965804258325,0.00893674090365229,0.0135624823159215,0.00838142987589439,0.0105300032701844,0.0101043097981345,0.00330137082936103,0.00763381644275743,NA,NA,NA,0.136363636363636,0.656932009491598,0.00933084173271727,0.689398765996673,0.556693131026672,0.00993047767072887,NA
"11","Bahamas",2011,0.921850242460743,0.612921579177678,NA,0.165153935983664,0.0722067099905438,0.128768238815219,0.20971897673575,0.100943651743086,0.143392987115993,0.165529874636782,0.10109481323149,0.168009008716054,0.22646563282184,0.101334248450579,0.405545822556451,NA,NA,NA,0.0568181818181818,0,0.176539504909034,0.511590607212807,NA,0.165728178619435,NA
"12","Bahrain",2011,0.98462908592786,0.857588491354032,NA,0.29258061592371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0568181818181818,0.162859241163593,NA,0.668358939481828,NA,NA,NA
"13","Bangladesh",2011,0.844882410576441,0.77443025197822,1,0.0146980943113986,0.0121055950261941,0.0115981416924842,0.0235342736786524,0.028429165377161,0.0153445733097504,0.0175279676344337,0.0129147510343655,0.0183206553897824,0.0139188958968884,0.0104981698482148,0.0586022572255316,0.444444444444444,0.222222222222222,0,0.329545454545455,0.702538561926671,0.021944554464516,0.773950408160444,0.507349047155699,0.020254040555769,0.222222222222222
"14","Barbados",2011,0.831118816561216,0.922674513142258,1,0.110744320424748,0.0844231317314037,0.193021397848779,0.300618279334191,0.247674681185381,0.220933236474912,0.267784642076856,0.167607710789854,0.325467774129728,0.266858798033063,0.134640166746329,0.320987123264107,NA,NA,NA,0.0113636363636364,0.354369473784875,0.243994266587529,0.702720934496117,0.555372160212374,0.230001540146782,NA
"15","Belarus",2011,0.947243490523233,0.899944589967479,1,0.119747296448023,0.027426634502266,0.0511226601509945,0.0714305336818631,0.0261979723047962,0.0754817508283741,0.103621354416051,0.0386870722153888,0.0731071628920714,0.0851096097933188,0.0124045679305668,0.0578379301917463,NA,NA,NA,0.147727272727273,0.888160181280868,0.0590559275715392,0.91178275392386,0.559873648224012,0.0565842953552216,NA
"16","Belgium",2011,0.99521612080426,0.883442280655952,1,0.301434528611546,0.0187073133314439,0.0500000388631521,0.0897931994872295,0.018684535104215,0.0825524276853177,0.0888176149955293,0.0464292571825866,0.0694206543037549,0.26962165448823,0.0210886762363434,0.181293284695235,NA,NA,NA,0.102272727272727,0.337719413875005,0.0972385130864016,0.738792605111739,0.650717264305773,0.0851280596702762,NA
"17","Belize",2011,0.878164983997418,0.752171659949283,1,0.0542328369299545,0.0405727376313978,0.062137330754352,0.112698756685848,0.0136035555987026,0.0503640603760773,0.0545793234397197,0.0563035576744484,0.0865793262703406,0.108904160968377,0.0823944600493786,0.115139226836151,0,0.222222222222222,0,0.0568181818181818,0.433714223859956,0.0709834589016494,0.688016955935552,0.527116418464977,0.0712069542077085,0.0740740740740741
